log_id,drone_id,delivery_id,timestamp,battery_level,gps_signal,weather_condition,status
LOG000031,D078,DEL00006,2025-10-06 03:39:59,83.71,0.738,clear,ACTIVE
LOG000032,D078,DEL00006,2025-10-06 03:44:22,81.14,0.806,clear,ACTIVE
LOG000033,D078,DEL00006,2025-10-06 03:48:45,78.57,0.811,clear,ACTIVE
LOG000034,D078,DEL00006,2025-10-06 03:53:08,76.0,0.883,clear,ACTIVE
LOG000035,D078,DEL00006,2025-10-06 03:57:32,73.43,0.725,clear,ACTIVE
LOG000036,D078,DEL00006,2025-10-06 04:01:55,70.86,0.931,clear,COMPLETED
LOG000037,D092,DEL00007,2026-02-04 04:40:51,98.65,0.969,clear,ACTIVE
LOG000038,D092,DEL00007,2026-02-04 04:44:26,96.08,0.882,clear,ACTIVE
LOG000039,D092,DEL00007,2026-02-04 04:48:01,93.5,0.927,clear,ACTIVE
LOG000040,D092,DEL00007,2026-02-04 04:51:37,90.92,0.728,clear,ACTIVE
LOG000041,D092,DEL00007,2026-02-04 04:55:12,88.34,0.249,clear,ACTIVE
LOG000042,D092,DEL00007,2026-02-04 04:58:48,85.76,0.213,clear,FAILED
LOG000043,D029,DEL00008,2025-12-27 05:27:57,93.52,0.885,heavy_rain,ACTIVE
LOG000044,D029,DEL00008,2025-12-27 05:30:35,91.96,0.765,cloudy,ACTIVE
LOG000045,D029,DEL00008,2025-12-27 05:33:14,90.4,0.8,heavy_rain,ACTIVE
LOG000046,D029,DEL00008,2025-12-27 05:35:53,88.83,0.664,heavy_rain,ACTIVE
LOG000047,D029,DEL00008,2025-12-27 05:38:32,87.27,0.683,heavy_rain,ACTIVE
LOG000048,D029,DEL00008,2025-12-27 05:41:11,85.7,0.962,heavy_rain,COMPLETED
LOG000049,D001,DEL00009,2026-02-25 08:17:55,81.65,0.754,cloudy,ACTIVE
LOG000050,D001,DEL00009,2026-02-25 08:22:49,79.84,0.821,cloudy,ACTIVE
LOG000051,D001,DEL00009,2026-02-25 08:27:44,78.04,0.737,cloudy,ACTIVE
LOG000052,D001,DEL00009,2026-02-25 08:32:39,76.23,0.798,cloudy,ACTIVE
LOG000053,D001,DEL00009,2026-02-25 08:37:34,74.43,0.993,cloudy,ACTIVE
LOG000054,D001,DEL00009,2026-02-25 08:42:29,72.62,,clear,COMPLETED
LOG000055,D055,DEL00010,2025-12-06 01:40:56,93.15,0.658,cloudy,ACTIVE
LOG000056,D055,DEL00010,2025-12-06 01:51:33,86.88,0.643,cloudy,ACTIVE
LOG000057,D055,DEL00010,2025-12-06 02:02:10,80.61,0.56,cloudy,ACTIVE
LOG000058,D055,DEL00010,2025-12-06 02:12:48,74.34,0.917,cloudy,ACTIVE
LOG000059,D055,DEL00010,2025-12-06 02:23:25,68.06,0.766,cloudy,ACTIVE
LOG000060,D055,DEL00010,2025-12-06 02:34:03,61.79,0.956,cloudy,COMPLETED
LOG000061,D028,DEL00011,2026-02-26 06:08:25,97.76,0.864,cloudy,ACTIVE
LOG000062,D028,DEL00011,2026-02-26 06:19:01,94.41,0.896,clear,ACTIVE
LOG000063,D028,DEL00011,2026-02-26 06:29:38,91.05,0.811,cloudy,ACTIVE
LOG000064,D028,DEL00011,2026-02-26 06:40:14,87.7,0.73,cloudy,ACTIVE
LOG000065,D028,DEL00011,2026-02-26 06:50:51,84.35,0.943,cloudy,ACTIVE
LOG000066,D028,DEL00011,2026-02-26 07:01:27,80.99,0.92,cloudy,COMPLETED
LOG000067,D012,DEL00012,2025-12-13 18:35:22,83.04,0.86,cloudy,ACTIVE
LOG000068,D012,DEL00012,2025-12-13 18:46:42,78.78,0.551,cloudy,ACTIVE
LOG000069,D012,DEL00012,2025-12-13 18:58:02,74.53,0.791,cloudy,ACTIVE
LOG000070,D012,DEL00012,2025-12-13 19:09:22,70.27,0.874,clear,ACTIVE
LOG000071,D012,DEL00012,2025-12-13 19:20:43,66.02,0.887,heavy_rain,ACTIVE
LOG000072,D012,DEL00012,2025-12-13 19:32:03,61.76,0.882,cloudy,COMPLETED
LOG000073,D045,DEL00013,2026-01-26 05:34:02,91.22,0.882,windy,ACTIVE
LOG000074,D045,DEL00013,2026-01-26 05:41:56,87.93,0.72,windy,ACTIVE
LOG000075,D045,DEL00013,2026-01-26 05:49:51,84.63,,windy,ACTIVE
LOG000076,D045,DEL00013,2026-01-26 05:57:46,81.34,0.714,windy,ACTIVE
LOG000077,D045,DEL00013,2026-01-26 06:05:40,78.04,,windy,ACTIVE
LOG000078,D045,DEL00013,2026-01-26 06:13:35,74.74,0.999,,COMPLETED
LOG000079,D006,DEL00014,2026-02-19 16:47:47,88.38,0.642,heavy_rain,ACTIVE
LOG000080,D006,DEL00014,2026-02-19 17:01:03,81.82,0.881,heavy_rain,ACTIVE
LOG000081,D006,DEL00014,2026-02-19 17:14:19,75.26,0.778,heavy_rain,ACTIVE
LOG000082,D006,DEL00014,2026-02-19 17:27:35,68.7,0.754,heavy_rain,ACTIVE
LOG000083,D006,DEL00014,2026-02-19 17:40:52,,0.59,heavy_rain,ACTIVE
LOG000084,D006,DEL00014,2026-02-19 17:54:08,55.59,0.823,heavy_rain,COMPLETED
LOG000085,D016,DEL00015,2026-03-29 02:12:28,98.16,0.902,clear,ACTIVE
LOG000086,D016,DEL00015,2026-03-29 02:16:03,95.16,0.921,clear,ACTIVE
LOG000087,D016,DEL00015,2026-03-29 02:19:39,92.16,0.692,clear,ACTIVE
LOG000088,D016,DEL00015,2026-03-29 02:23:15,89.16,0.955,clear,ACTIVE
LOG000089,D016,DEL00015,2026-03-29 02:26:50,86.17,0.71,clear,ACTIVE
LOG000090,D016,DEL00015,2026-03-29 02:30:26,83.17,0.794,clear,COMPLETED
LOG000091,D071,DEL00016,2025-11-26 22:18:35,99.94,0.9,windy,ACTIVE
LOG000092,D071,DEL00016,2025-11-26 22:20:17,98.64,0.772,windy,ACTIVE
LOG000093,D071,DEL00016,2025-11-26 22:22:00,97.34,0.756,windy,ACTIVE
LOG000094,D071,DEL00016,2025-11-26 22:23:43,,0.734,windy,ACTIVE
LOG000095,D071,DEL00016,2025-11-26 22:25:26,94.73,0.872,windy,ACTIVE
LOG000096,D071,DEL00016,2025-11-26 22:27:09,93.43,0.652,windy,COMPLETED
LOG000097,D047,DEL00017,2026-01-21 02:39:21,77.56,0.56,heavy_rain,ACTIVE
LOG000098,D047,DEL00017,2026-01-21 02:42:33,76.13,0.581,clear,ACTIVE
LOG000099,D047,DEL00017,2026-01-21 02:45:46,74.7,0.656,heavy_rain,ACTIVE
LOG000100,D047,DEL00017,2026-01-21 02:48:59,73.28,0.69,heavy_rain,ACTIVE
LOG000101,D047,DEL00017,2026-01-21 02:52:12,71.85,0.643,heavy_rain,ACTIVE
LOG000102,D047,DEL00017,2026-01-21 02:55:25,70.42,0.939,heavy_rain,COMPLETED
LOG000103,D009,DEL00018,2025-10-09 21:33:25,79.14,0.901,clear,ACTIVE
LOG000104,D009,DEL00018,2025-10-09 21:46:55,75.72,0.782,clear,ACTIVE
LOG000105,D009,DEL00018,2025-10-09 22:00:25,72.3,0.791,clear,ACTIVE
LOG000106,D009,DEL00018,2025-10-09 22:13:55,68.88,0.742,clear,ACTIVE
LOG000107,D009,DEL00018,2025-10-09 22:27:26,65.46,0.72,clear,ACTIVE
LOG000108,D009,DEL00018,2025-10-09 22:40:56,62.04,0.787,clear,COMPLETED
LOG000109,D038,DEL00019,2025-10-16 11:51:27,88.16,0.872,storm,ACTIVE
LOG000110,D038,DEL00019,2025-10-16 11:52:23,,0.654,storm,ACTIVE
LOG000111,D038,DEL00019,2025-10-16 11:53:20,85.94,0.63,storm,ACTIVE
LOG000112,D038,DEL00019,2025-10-16 11:54:16,84.82,0.875,storm,ACTIVE
LOG000113,D038,DEL00019,2025-10-16 11:55:13,83.71,0.642,storm,ACTIVE
LOG000114,D038,DEL00019,2025-10-16 11:56:10,82.59,0.932,heavy_rain,FAILED
LOG000115,D013,DEL00020,2025-12-13 19:30:59,81.7,0.798,cloudy,ACTIVE
LOG000116,D013,DEL00020,2025-12-13 19:42:16,75.97,0.894,cloudy,ACTIVE
LOG000117,D013,DEL00020,2025-12-13 19:53:34,,0.91,cloudy,ACTIVE
LOG000118,D013,DEL00020,2025-12-13 20:04:52,64.5,0.835,cloudy,ACTIVE
LOG000119,D013,DEL00020,2025-12-13 20:16:10,58.76,,cloudy,ACTIVE
LOG000120,D013,DEL00020,2025-12-13 20:27:27,53.03,0.603,cloudy,COMPLETED
LOG000121,D082,DEL00021,2026-03-11 23:14:10,89.94,0.629,windy,ACTIVE
LOG000122,D082,DEL00021,2026-03-11 23:21:11,85.8,0.784,clear,ACTIVE
LOG000123,D082,DEL00021,2026-03-11 23:28:12,81.66,0.66,windy,ACTIVE
LOG000124,D082,DEL00021,2026-03-11 23:35:14,77.53,0.684,windy,ACTIVE
LOG000125,D082,DEL00021,2026-03-11 23:42:15,14.52,0.647,clear,ACTIVE
LOG000126,D082,DEL00021,2026-03-11 23:49:17,12.76,0.7,windy,FAILED
LOG000127,D048,DEL00022,2025-12-08 23:40:53,94.99,0.816,cloudy,ACTIVE
LOG000128,D048,DEL00022,2025-12-08 23:45:20,91.85,0.612,cloudy,ACTIVE
LOG000129,D048,DEL00022,2025-12-08 23:49:48,88.72,0.943,cloudy,ACTIVE
LOG000130,D048,DEL00022,2025-12-08 23:54:16,85.59,0.932,cloudy,ACTIVE
LOG000131,D048,DEL00022,2025-12-08 23:58:44,82.45,0.975,windy,ACTIVE
LOG000132,D048,DEL00022,2025-12-09 00:03:12,79.32,0.962,windy,COMPLETED
LOG000133,D035,DEL00023,2026-02-14 06:43:10,95.72,0.654,windy,ACTIVE
LOG000134,D035,DEL00023,2026-02-14 06:58:09,90.38,0.703,windy,ACTIVE
LOG000135,D035,DEL00023,2026-02-14 07:13:09,85.04,0.906,windy,ACTIVE
LOG000136,D035,DEL00023,2026-02-14 07:28:09,,0.655,heavy_rain,ACTIVE
LOG000137,D035,DEL00023,2026-02-14 07:43:09,74.36,0.973,windy,ACTIVE
LOG000138,D035,DEL00023,2026-02-14 07:58:09,69.02,0.731,windy,COMPLETED
LOG000139,D082,DEL00024,2025-11-03 05:33:50,77.76,0.683,,ACTIVE
LOG000140,D082,DEL00024,2025-11-03 05:41:27,74.43,0.994,clear,ACTIVE
LOG000141,D082,DEL00024,2025-11-03 05:49:05,71.1,0.977,clear,ACTIVE
LOG000142,D082,DEL00024,2025-11-03 05:56:42,67.77,0.975,clear,ACTIVE
LOG000143,D082,DEL00024,2025-11-03 06:04:20,64.44,0.654,clear,ACTIVE
LOG000144,D082,DEL00024,2025-11-03 06:11:58,61.11,0.654,clear,COMPLETED
LOG000145,D032,DEL00025,2025-11-01 17:30:38,99.87,0.891,cloudy,ACTIVE
LOG000146,D032,DEL00025,2025-11-01 17:36:11,98.4,0.651,cloudy,ACTIVE
LOG000147,D032,DEL00025,2025-11-01 17:41:45,96.92,0.591,cloudy,ACTIVE
LOG000148,D032,DEL00025,2025-11-01 17:47:19,95.44,0.98,cloudy,ACTIVE
LOG000149,D032,DEL00025,2025-11-01 17:52:53,93.96,0.589,cloudy,ACTIVE
LOG000150,D032,DEL00025,2025-11-01 17:58:27,92.48,0.773,clear,COMPLETED
LOG000151,D035,DEL00026,2026-03-29 16:38:07,91.95,0.945,clear,ACTIVE
LOG000152,D035,DEL00026,2026-03-29 16:46:23,87.67,0.94,clear,ACTIVE
LOG000153,D035,DEL00026,2026-03-29 16:54:40,83.39,0.828,clear,ACTIVE
LOG000154,D035,DEL00026,2026-03-29 17:02:57,79.12,0.563,clear,ACTIVE
LOG000155,D035,DEL00026,2026-03-29 17:11:14,74.84,0.622,,ACTIVE
LOG000156,D035,DEL00026,2026-03-29 17:19:31,70.56,0.679,clear,COMPLETED
LOG000157,D088,DEL00027,2025-12-02 23:16:01,88.53,0.835,cloudy,ACTIVE
LOG000158,D088,DEL00027,2025-12-02 23:21:28,84.5,0.86,cloudy,ACTIVE
LOG000159,D088,DEL00027,2025-12-02 23:26:56,80.46,0.706,cloudy,ACTIVE
LOG000160,D088,DEL00027,2025-12-02 23:32:24,76.43,0.986,cloudy,ACTIVE
LOG000161,D088,DEL00027,2025-12-02 23:37:52,72.39,0.56,cloudy,ACTIVE
LOG000162,D088,DEL00027,2025-12-02 23:43:20,68.36,0.751,cloudy,COMPLETED
LOG000163,D005,DEL00028,2026-03-06 07:47:07,92.01,0.978,clear,ACTIVE
LOG000164,D005,DEL00028,2026-03-06 07:48:59,90.63,0.739,clear,ACTIVE
LOG000165,D005,DEL00028,2026-03-06 07:50:52,89.24,0.734,clear,ACTIVE
LOG000166,D005,DEL00028,2026-03-06 07:52:44,87.86,0.843,clear,ACTIVE
LOG000167,D005,DEL00028,2026-03-06 07:54:37,86.47,0.633,clear,ACTIVE
LOG000168,D005,DEL00028,2026-03-06 07:56:29,85.08,0.892,clear,COMPLETED
LOG000169,D035,DEL00029,2025-10-13 20:27:40,92.14,0.771,clear,ACTIVE
LOG000170,D035,DEL00029,2025-10-13 20:34:56,87.35,,clear,ACTIVE
LOG000171,D035,DEL00029,2025-10-13 20:42:13,82.55,0.727,clear,ACTIVE
LOG000172,D035,DEL00029,2025-10-13 20:49:29,77.76,0.937,clear,ACTIVE
LOG000173,D035,DEL00029,2025-10-13 20:56:46,72.96,0.659,clear,ACTIVE
LOG000174,D035,DEL00029,2025-10-13 21:04:03,,0.866,clear,COMPLETED
LOG000175,D073,DEL00030,2026-03-20 04:10:08,89.19,0.64,windy,ACTIVE
LOG000176,D073,DEL00030,2026-03-20 04:11:12,88.09,0.868,heavy_rain,ACTIVE
LOG000177,D073,DEL00030,2026-03-20 04:12:17,87.0,0.942,windy,ACTIVE
LOG000178,D073,DEL00030,2026-03-20 04:13:22,85.91,0.586,windy,ACTIVE
LOG000179,D073,DEL00030,2026-03-20 04:14:27,13.37,0.787,windy,ACTIVE
LOG000180,D073,DEL00030,2026-03-20 04:15:32,7.07,0.942,windy,FAILED
LOG000181,D084,DEL00031,2026-01-05 22:35:10,80.71,0.843,storm,ACTIVE
LOG000182,D084,DEL00031,2026-01-05 22:42:25,75.17,0.564,storm,ACTIVE
LOG000183,D084,DEL00031,2026-01-05 22:49:40,69.64,0.884,storm,ACTIVE
LOG000184,D084,DEL00031,2026-01-05 22:56:55,64.1,0.568,storm,ACTIVE
LOG000185,D084,DEL00031,2026-01-05 23:04:11,58.56,0.769,storm,ACTIVE
LOG000186,D084,DEL00031,2026-01-05 23:11:26,53.02,0.817,storm,COMPLETED
LOG000187,D083,DEL00032,2025-12-29 02:24:16,80.94,0.934,clear,ACTIVE
LOG000188,D083,DEL00032,2025-12-29 02:38:30,74.41,0.75,clear,ACTIVE
LOG000189,D083,DEL00032,2025-12-29 02:52:44,67.89,0.726,clear,ACTIVE
LOG000190,D083,DEL00032,2025-12-29 03:06:58,61.36,0.898,clear,ACTIVE
LOG000191,D083,DEL00032,2025-12-29 03:21:12,54.84,0.583,clear,ACTIVE
LOG000192,D083,DEL00032,2025-12-29 03:35:27,48.31,0.744,clear,COMPLETED
LOG000193,D018,DEL00033,2025-11-17 21:22:02,96.1,0.941,cloudy,ACTIVE
LOG000194,D018,DEL00033,2025-11-17 21:26:20,94.41,0.576,cloudy,ACTIVE
LOG000195,D018,DEL00033,2025-11-17 21:30:39,92.71,0.753,cloudy,ACTIVE
LOG000196,D018,DEL00033,2025-11-17 21:34:58,91.02,,cloudy,ACTIVE
LOG000197,D018,DEL00033,2025-11-17 21:39:16,89.33,0.838,cloudy,ACTIVE
LOG000198,D018,DEL00033,2025-11-17 21:43:35,,0.85,cloudy,COMPLETED
LOG000199,D034,DEL00034,2026-02-23 01:20:12,86.09,0.862,clear,ACTIVE
LOG000200,D034,DEL00034,2026-02-23 01:22:24,84.38,0.774,clear,ACTIVE
LOG000201,D034,DEL00034,2026-02-23 01:24:36,82.66,0.969,clear,ACTIVE
LOG000202,D034,DEL00034,2026-02-23 01:26:49,80.94,0.727,clear,ACTIVE
LOG000203,D034,DEL00034,2026-02-23 01:29:01,79.23,0.572,clear,ACTIVE
LOG000204,D034,DEL00034,2026-02-23 01:31:14,77.51,0.805,clear,COMPLETED
LOG000205,D075,DEL00035,2025-12-17 13:20:28,95.45,0.553,windy,ACTIVE
LOG000206,D075,DEL00035,2025-12-17 13:26:28,92.54,0.863,windy,ACTIVE
LOG000207,D075,DEL00035,2025-12-17 13:32:29,89.63,0.652,windy,ACTIVE
LOG000208,D075,DEL00035,2025-12-17 13:38:29,86.73,0.721,windy,ACTIVE
LOG000209,D075,DEL00035,2025-12-17 13:44:30,83.82,0.704,windy,ACTIVE
LOG000210,D075,DEL00035,2025-12-17 13:50:30,80.91,0.824,windy,COMPLETED
LOG000211,D018,DEL00036,2026-01-07 22:33:52,98.18,0.708,storm,ACTIVE
LOG000212,D018,DEL00036,2026-01-07 22:34:57,97.73,0.678,storm,ACTIVE
LOG000213,D018,DEL00036,2026-01-07 22:36:03,97.29,0.825,storm,ACTIVE
LOG000214,D018,DEL00036,2026-01-07 22:37:08,96.85,0.632,storm,ACTIVE
LOG000215,D018,DEL00036,2026-01-07 22:38:14,96.41,0.18,storm,ACTIVE
LOG000216,D018,DEL00036,2026-01-07 22:39:19,95.96,0.06,storm,FAILED
LOG000217,D097,DEL00037,2025-10-10 03:34:41,96.0,0.657,clear,ACTIVE
LOG000218,D097,DEL00037,2025-10-10 03:49:06,88.64,0.741,clear,ACTIVE
LOG000219,D097,DEL00037,2025-10-10 04:03:32,81.28,0.814,clear,ACTIVE
LOG000220,D097,DEL00037,2025-10-10 04:17:58,73.92,0.593,cloudy,ACTIVE
LOG000221,D097,DEL00037,2025-10-10 04:32:24,66.56,0.726,clear,ACTIVE
LOG000222,D097,DEL00037,2025-10-10 04:46:50,59.2,0.863,clear,COMPLETED
LOG000223,D081,DEL00038,2025-11-01 01:34:12,76.99,0.731,heavy_rain,ACTIVE
LOG000224,D081,DEL00038,2025-11-01 01:44:03,72.29,0.749,heavy_rain,ACTIVE
LOG000225,D081,DEL00038,2025-11-01 01:53:54,67.6,0.672,heavy_rain,ACTIVE
LOG000226,D081,DEL00038,2025-11-01 02:03:46,62.9,0.636,clear,ACTIVE
LOG000227,D081,DEL00038,2025-11-01 02:13:37,58.21,0.7,storm,ACTIVE
LOG000228,D081,DEL00038,2025-11-01 02:23:29,53.51,0.64,,FAILED
LOG000229,D009,DEL00039,2025-12-14 17:08:44,99.35,0.896,windy,ACTIVE
LOG000230,D009,DEL00039,2025-12-14 17:12:22,97.45,0.666,windy,ACTIVE
LOG000231,D009,DEL00039,2025-12-14 17:16:00,95.54,0.622,clear,ACTIVE
LOG000232,D009,DEL00039,2025-12-14 17:19:38,93.64,0.706,windy,ACTIVE
LOG000233,D009,DEL00039,2025-12-14 17:23:16,91.73,0.974,windy,ACTIVE
LOG000234,D009,DEL00039,2025-12-14 17:26:54,89.82,0.805,windy,COMPLETED
LOG000235,D060,DEL00040,2026-01-11 17:51:05,80.3,0.56,cloudy,ACTIVE
LOG000236,D060,DEL00040,2026-01-11 17:57:05,76.14,0.808,cloudy,ACTIVE
LOG000237,D060,DEL00040,2026-01-11 18:03:06,71.98,0.823,cloudy,ACTIVE
LOG000238,D060,DEL00040,2026-01-11 18:09:07,67.83,0.979,cloudy,ACTIVE
LOG000239,D060,DEL00040,2026-01-11 18:15:07,63.67,0.778,cloudy,ACTIVE
LOG000240,D060,DEL00040,2026-01-11 18:21:08,59.51,0.817,cloudy,COMPLETED
LOG000241,D002,DEL00041,2026-02-10 02:21:01,89.11,0.768,clear,ACTIVE
LOG000242,D002,DEL00041,2026-02-10 02:22:29,88.7,0.744,clear,ACTIVE
LOG000243,D002,DEL00041,2026-02-10 02:23:58,88.29,0.63,clear,ACTIVE
LOG000244,D002,DEL00041,2026-02-10 02:25:27,87.88,0.655,clear,ACTIVE
LOG000245,D002,DEL00041,2026-02-10 02:26:56,87.47,0.876,clear,ACTIVE
LOG000246,D002,DEL00041,2026-02-10 02:28:25,87.07,0.786,clear,COMPLETED
LOG000247,D069,DEL00042,2026-02-23 19:20:39,92.02,0.696,windy,ACTIVE
LOG000248,D069,DEL00042,2026-02-23 19:24:08,90.99,0.579,cloudy,ACTIVE
LOG000249,D069,DEL00042,2026-02-23 19:27:37,89.96,0.67,windy,ACTIVE
LOG000250,D069,DEL00042,2026-02-23 19:31:06,88.93,0.843,windy,ACTIVE
LOG000251,D069,DEL00042,2026-02-23 19:34:35,87.89,0.98,windy,ACTIVE
LOG000252,D069,DEL00042,2026-02-23 19:38:04,86.86,0.914,cloudy,COMPLETED
LOG000253,D083,DEL00043,2025-12-06 01:19:57,97.23,0.598,heavy_rain,ACTIVE
LOG000254,D083,DEL00043,2025-12-06 01:30:37,91.74,0.567,heavy_rain,ACTIVE
LOG000255,D083,DEL00043,2025-12-06 01:41:18,86.24,0.566,heavy_rain,ACTIVE
LOG000256,D083,DEL00043,2025-12-06 01:51:58,80.75,0.987,heavy_rain,ACTIVE
LOG000257,D083,DEL00043,2025-12-06 02:02:39,75.25,0.797,heavy_rain,ACTIVE
LOG000258,D083,DEL00043,2025-12-06 02:13:19,69.76,0.782,heavy_rain,COMPLETED
LOG000259,D056,DEL00044,2025-10-31 17:04:06,99.0,0.695,heavy_rain,ACTIVE
LOG000260,D056,DEL00044,2025-10-31 17:12:03,96.31,0.769,heavy_rain,ACTIVE
LOG000261,D056,DEL00044,2025-10-31 17:20:01,93.63,0.57,heavy_rain,ACTIVE
LOG000262,D056,DEL00044,2025-10-31 17:27:59,90.95,0.798,heavy_rain,ACTIVE
LOG000263,D056,DEL00044,2025-10-31 17:35:57,,0.854,heavy_rain,ACTIVE
LOG000264,D056,DEL00044,2025-10-31 17:43:55,85.58,0.693,heavy_rain,COMPLETED
LOG000265,D093,DEL00045,2026-03-20 01:46:13,76.35,0.671,windy,ACTIVE
LOG000266,D093,DEL00045,2026-03-20 01:49:36,74.18,0.858,storm,ACTIVE
LOG000267,D093,DEL00045,2026-03-20 01:52:59,72.02,0.736,windy,ACTIVE
LOG000268,D093,DEL00045,2026-03-20 01:56:22,69.85,0.618,cloudy,ACTIVE
LOG000269,D093,DEL00045,2026-03-20 01:59:45,67.69,0.801,windy,ACTIVE
LOG000270,D093,DEL00045,2026-03-20 02:03:08,65.53,0.637,windy,COMPLETED
LOG000271,D098,DEL00046,2025-11-04 16:34:41,,0.925,windy,ACTIVE
LOG000272,D098,DEL00046,2025-11-04 16:43:20,81.97,0.855,windy,ACTIVE
LOG000273,D098,DEL00046,2025-11-04 16:52:00,75.84,0.606,windy,ACTIVE
LOG000274,D098,DEL00046,2025-11-04 17:00:39,,0.612,windy,ACTIVE
LOG000275,D098,DEL00046,2025-11-04 17:09:19,63.57,0.625,windy,ACTIVE
LOG000276,D098,DEL00046,2025-11-04 17:17:59,57.44,0.78,windy,COMPLETED
LOG000277,D014,DEL00047,2026-03-19 00:54:38,83.05,0.863,clear,ACTIVE
LOG000278,D014,DEL00047,2026-03-19 00:56:15,82.14,0.921,clear,ACTIVE
LOG000279,D014,DEL00047,2026-03-19 00:57:53,81.24,0.656,clear,ACTIVE
LOG000280,D014,DEL00047,2026-03-19 00:59:31,80.33,0.88,clear,ACTIVE
LOG000281,D014,DEL00047,2026-03-19 01:01:09,79.42,0.63,clear,ACTIVE
LOG000282,D014,DEL00047,2026-03-19 01:02:47,78.51,0.978,clear,COMPLETED
LOG000283,D082,DEL00048,2026-01-07 13:52:49,94.56,0.651,heavy_rain,ACTIVE
LOG000284,D082,DEL00048,2026-01-07 13:58:58,92.09,0.746,heavy_rain,ACTIVE
LOG000285,D082,DEL00048,2026-01-07 14:05:07,89.62,,heavy_rain,ACTIVE
LOG000286,D082,DEL00048,2026-01-07 14:11:16,87.15,0.651,heavy_rain,ACTIVE
LOG000287,D082,DEL00048,2026-01-07 14:17:26,84.67,0.556,heavy_rain,ACTIVE
LOG000288,D082,DEL00048,2026-01-07 14:23:35,82.2,0.674,heavy_rain,COMPLETED
LOG000289,D020,DEL00049,2025-12-12 14:33:53,89.05,0.706,heavy_rain,ACTIVE
LOG000290,D020,DEL00049,2025-12-12 14:36:32,86.16,0.984,heavy_rain,ACTIVE
LOG000291,D020,DEL00049,2025-12-12 14:39:11,83.28,0.667,heavy_rain,ACTIVE
LOG000292,D020,DEL00049,2025-12-12 14:41:50,80.39,0.639,heavy_rain,ACTIVE
LOG000293,D020,DEL00049,2025-12-12 14:44:29,77.51,0.707,storm,ACTIVE
LOG000294,D020,DEL00049,2025-12-12 14:47:08,74.62,0.858,storm,FAILED
LOG000295,D100,DEL00050,2026-03-29 02:51:15,87.12,0.932,heavy_rain,ACTIVE
LOG000296,D100,DEL00050,2026-03-29 02:52:32,86.45,0.843,heavy_rain,ACTIVE
