delivery_id,drone_id,source,destination,distance_km,start_time,end_time,status
DEL00075,D084,Warehouse-North,Zone-02,34.81,2026-02-03 11:24:57,2026-02-03 12:03:18,SUCCESS
DEL00076,D052,Warehouse-East,Zone-26,35.9,2026-02-19 09:43:16,2026-02-19 10:03:06,FAILED
DEL00077,D014,Warehouse-South,Zone-07,12.54,2025-11-18 06:49:21,2025-11-18 07:01:10,SUCCESS
DEL00078,D069,Warehouse-South,Zone-14,25.24,2025-12-27 02:41:26,2025-12-27 02:48:13,FAILED
DEL00079,D024,Hub-Central,Zone-08,41.15,2025-11-24 02:06:52,2025-11-24 02:43:47,SUCCESS
DEL00080,D010,Hub-West,Zone-04,45.72,2025-12-26 01:08:20,2025-12-26 01:46:17,SUCCESS
DEL00081,D007,Hub-West,Zone-27,15.14,2026-02-04 15:12:55,2026-02-04 15:30:25,SUCCESS
DEL00082,D002,Warehouse-South,Zone-06,29.15,2025-10-19 02:38:09,2025-10-19 03:00:05,SUCCESS
DEL00083,D053,Hub-Central,Zone-07,32.84,2026-01-03 07:15:06,2026-01-03 07:43:15,SUCCESS
DEL00084,D052,Warehouse-North,Zone-06,15.07,2026-03-25 05:41:18,2026-03-25 05:56:18,SUCCESS
DEL00085,D049,Hub-Central,Zone-09,13.09,2025-10-01 10:02:41,2025-10-01 10:17:57,SUCCESS
DEL00086,D059,Hub-Central,Zone-23,14.61,2025-11-25 09:21:27,2025-11-25 09:35:48,FAILED
DEL00087,D094,Hub-West,Zone-22,62.19,2026-03-02 02:43:45,2026-03-02 04:19:29,SUCCESS
DEL00088,D092,Warehouse-South,Zone-07,28.9,2026-01-03 12:03:11,2026-01-03 12:30:24,SUCCESS
DEL00089,D038,Warehouse-North,Zone-19,13.94,2025-11-12 06:33:34,2025-11-12 06:44:42,SUCCESS
DEL00090,D095,Warehouse-North,Zone-24,30.19,2026-01-14 06:48:46,2026-01-14 07:10:38,FAILED
DEL00091,D041,Warehouse-North,Zone-19,21.57,2025-10-12 02:24:34,2025-10-12 02:44:54,SUCCESS
DEL00092,D062,Hub-West,Zone-06,21.48,2026-01-06 15:27:09,2026-01-06 15:44:35,SUCCESS
DEL00093,D008,Warehouse-North,Zone-28,22.53,2026-01-07 14:39:08,2026-01-07 15:00:33,SUCCESS
DEL00094,D024,Hub-West,Zone-03,8.86,2025-10-14 07:19:57,2025-10-14 07:26:27,SUCCESS
DEL00095,D087,Warehouse-South,Zone-13,35.86,2026-03-17 08:22:06,2026-03-17 08:55:00,SUCCESS
DEL00096,D016,Hub-West,Zone-08,41.77,2026-03-22 21:02:22,2026-03-22 21:37:09,SUCCESS
DEL00097,D075,Warehouse-North,Zone-20,11.82,2026-01-24 10:39:36,2026-01-24 10:50:35,SUCCESS
DEL00098,D011,Hub-West,Zone-19,11.57,2025-12-21 09:43:46,2025-12-21 09:55:56,SUCCESS
DEL00099,D067,Warehouse-East,Zone-07,52.6,2025-12-01 10:23:25,2025-12-01 11:27:41,SUCCESS
DEL00100,D086,Warehouse-East,Zone-08,44.77,2026-02-17 01:41:44,2026-02-17 02:05:58,FAILED
DEL00101,D034,Warehouse-South,Zone-22,8.93,2025-12-16 20:29:44,2025-12-16 20:41:15,SUCCESS
DEL00102,D083,Hub-Central,Zone-11,59.76,2025-11-28 06:05:15,2025-11-28 06:23:10,FAILED
DEL00103,D097,Warehouse-North,Zone-15,53.0,2025-10-15 02:04:31,2025-10-15 02:45:32,SUCCESS
DEL00104,D080,Warehouse-North,Zone-03,25.76,2026-01-18 07:44:25,2026-01-18 08:05:54,SUCCESS
DEL00105,D069,Hub-West,Zone-09,32.94,2025-11-11 09:22:15,2025-11-11 09:39:32,FAILED
DEL00106,D017,Warehouse-North,Zone-29,11.85,2025-12-07 18:29:56,2025-12-07 18:41:23,SUCCESS
DEL00107,D032,Warehouse-East,Zone-06,15.38,2025-12-11 18:07:15,2025-12-11 18:23:22,SUCCESS
DEL00108,D057,Hub-West,Zone-23,6.6,2026-03-11 21:31:59,2026-03-11 21:36:41,FAILED
DEL00109,D039,Hub-West,Zone-01,39.82,2026-01-27 18:37:29,2026-01-27 19:12:51,SUCCESS
DEL00110,D086,Hub-West,Zone-10,6.19,2026-03-08 15:58:52,2026-03-08 16:03:22,FAILED
DEL00111,D085,Warehouse-South,Zone-09,47.59,2025-10-21 02:44:53,2025-10-21 03:17:09,SUCCESS
DEL00112,D015,Warehouse-North,Zone-24,9.51,2026-03-22 18:21:42,2026-03-22 18:35:54,SUCCESS
DEL00113,D071,Warehouse-East,Zone-10,35.67,2025-10-31 04:26:23,2025-10-31 05:06:31,SUCCESS
DEL00114,D078,Warehouse-East,Zone-07,10.74,2025-11-10 21:36:19,2025-11-10 21:41:21,FAILED
DEL00115,D088,Warehouse-East,Zone-17,17.4,2026-02-01 03:45:47,2026-02-01 04:05:03,SUCCESS
DEL00116,D063,Warehouse-North,Zone-03,22.67,2025-11-18 18:18:35,2025-11-18 18:42:35,FAILED
DEL00117,D082,Warehouse-East,Zone-02,37.59,2025-12-22 06:00:22,2025-12-22 06:39:21,SUCCESS
DEL00118,D001,Warehouse-South,Zone-21,39.3,2025-12-04 18:29:10,2025-12-04 18:59:44,SUCCESS
DEL00119,D034,Hub-Central,Zone-18,43.72,2025-11-01 09:01:35,2025-11-01 09:54:37,SUCCESS
DEL00120,D091,Hub-West,Zone-01,,2025-12-23 01:09:55,2025-12-23 02:14:15,SUCCESS
DEL00121,D015,Warehouse-South,Zone-18,28.28,2025-10-15 14:39:42,2025-10-15 15:00:17,SUCCESS
DEL00122,D005,Warehouse-East,Zone-19,44.43,2026-03-12 01:29:40,2026-03-12 02:21:05,SUCCESS
DEL00123,D071,Hub-Central,Zone-05,21.92,2025-10-29 18:10:01,2025-10-29 18:26:20,SUCCESS
DEL00124,D006,Warehouse-East,Zone-29,63.44,2025-11-29 20:35:16,2025-11-29 21:31:46,SUCCESS
DEL00125,D006,Warehouse-East,Zone-07,26.63,2026-03-24 13:17:32,2026-03-24 13:53:53,SUCCESS
DEL00126,D088,Warehouse-North,Zone-12,35.4,2025-11-18 10:53:34,2025-11-18 11:22:46,SUCCESS
DEL00127,D100,Hub-Central,Zone-20,7.71,2026-01-17 17:14:46,2026-01-17 17:26:01,SUCCESS
DEL00128,D096,Warehouse-South,Zone-28,39.31,2025-10-31 00:16:14,2025-10-31 00:48:24,SUCCESS
DEL00129,D021,Warehouse-South,Zone-29,44.64,2026-03-05 07:44:37,2026-03-05 08:33:20,SUCCESS
DEL00130,D053,Warehouse-South,Zone-24,35.24,2025-10-05 19:30:46,2025-10-05 20:06:12,SUCCESS
DEL00131,D043,Hub-Central,Zone-26,6.89,2026-03-01 22:11:07,2026-03-01 22:18:43,SUCCESS
DEL00132,D086,Warehouse-South,Zone-09,17.48,2026-03-17 18:49:48,2026-03-17 19:06:21,SUCCESS
DEL00133,D021,Warehouse-North,Zone-13,7.41,2026-03-02 21:25:52,2026-03-02 21:33:33,SUCCESS
DEL00134,D005,Hub-Central,Zone-08,40.22,2026-03-16 17:20:04,2026-03-16 18:06:55,SUCCESS
DEL00135,D026,Hub-Central,Zone-12,30.47,2026-03-08 13:34:09,2026-03-08 13:45:23,FAILED
DEL00136,D040,Warehouse-South,Zone-08,23.0,2026-03-09 07:58:36,2026-03-09 08:22:18,SUCCESS
DEL00137,D004,Warehouse-South,Zone-13,7.23,2026-02-06 03:58:39,2026-02-06 04:02:09,FAILED
DEL00138,D043,Warehouse-North,Zone-25,7.74,2025-11-24 02:23:03,2025-11-24 02:31:01,SUCCESS
DEL00139,D036,Hub-West,Zone-13,28.98,2025-12-08 04:27:34,2025-12-08 04:51:52,SUCCESS
DEL00140,D087,Hub-West,Zone-11,7.0,2026-03-13 19:44:45,2026-03-13 19:47:32,FAILED
DEL00141,D004,Warehouse-East,Zone-06,39.68,2025-10-23 09:31:53,2025-10-23 09:54:25,FAILED
DEL00142,D075,Warehouse-North,Zone-04,45.15,2025-11-21 13:09:46,2025-11-21 13:41:10,SUCCESS
DEL00143,D077,Warehouse-East,Zone-24,46.11,2025-12-24 09:12:50,2025-12-24 10:06:10,SUCCESS
DEL00144,D041,Hub-West,Zone-17,24.66,2025-12-24 17:44:34,2025-12-24 18:05:09,SUCCESS
DEL00145,D015,Hub-West,Zone-07,22.52,2025-12-14 19:08:26,2025-12-14 19:25:38,SUCCESS
DEL00146,D033,Hub-Central,Zone-01,24.66,2025-10-09 14:51:22,2025-10-09 15:18:44,SUCCESS
DEL00147,D067,Hub-West,Zone-22,,2026-03-29 17:29:34,2026-03-29 17:41:27,SUCCESS
DEL00148,D093,Warehouse-South,Zone-12,86.51,2026-02-22 01:44:16,2026-02-22 02:41:12,SUCCESS
DEL00149,D056,Warehouse-East,Zone-20,31.15,2025-10-14 14:06:05,2025-10-14 14:42:42,SUCCESS
DEL00150,D041,Warehouse-North,Zone-24,5.55,2026-02-06 19:36:34,2026-02-06 19:41:47,SUCCESS
DEL00151,D039,Warehouse-East,Zone-22,13.63,2026-01-07 11:21:43,2026-01-07 11:37:35,SUCCESS
DEL00152,D053,Hub-Central,Zone-23,20.54,2025-12-03 08:07:21,2025-12-03 08:33:53,SUCCESS
DEL00153,D038,Warehouse-South,Zone-07,40.08,2026-01-16 15:44:57,2026-01-16 16:36:44,SUCCESS
DEL00154,D054,Hub-Central,Zone-22,30.96,2026-02-07 02:47:44,2026-02-07 03:09:41,FAILED
DEL00155,D096,Warehouse-South,Zone-20,17.69,2026-03-25 07:22:43,2026-03-25 07:39:26,SUCCESS
DEL00156,D073,Hub-Central,Zone-18,20.13,2025-11-28 10:31:41,2025-11-28 10:38:53,FAILED
DEL00157,D001,Warehouse-East,Zone-07,31.4,2025-11-29 00:09:35,2025-11-29 00:25:37,FAILED
DEL00158,D056,Hub-West,Zone-20,11.81,2026-03-02 13:54:05,2026-03-02 14:04:24,SUCCESS
DEL00159,D084,Hub-Central,Zone-15,49.2,2025-12-02 13:47:24,2025-12-02 14:36:32,SUCCESS
DEL00160,D057,Warehouse-South,Zone-17,15.84,2026-02-09 04:39:04,2026-02-09 04:57:43,SUCCESS
DEL00161,D061,Warehouse-South,Zone-22,31.7,2026-03-04 03:04:30,2026-03-04 03:49:20,SUCCESS
DEL00162,D011,Hub-West,Zone-22,25.74,2025-11-25 02:32:25,2025-11-25 02:52:06,SUCCESS
DEL00163,D082,Warehouse-East,Zone-03,44.14,2026-01-29 05:57:52,2026-01-29 06:28:05,SUCCESS
DEL00164,D097,Warehouse-East,Zone-08,13.64,2025-11-15 14:34:01,2025-11-15 14:48:12,SUCCESS
DEL00165,D026,Warehouse-North,Zone-02,22.09,2025-10-29 14:43:09,2025-10-29 14:56:29,FAILED
DEL00166,D032,Hub-West,Zone-28,35.41,2026-01-01 06:17:45,2026-01-01 06:51:17,SUCCESS
DEL00167,D099,Hub-Central,Zone-14,17.23,2025-10-15 03:24:14,2025-10-15 03:33:18,FAILED
DEL00168,D081,Warehouse-South,Zone-23,23.4,2026-01-20 18:49:15,2026-01-20 19:10:52,SUCCESS
DEL00169,D090,Hub-Central,Zone-13,31.45,2025-12-14 13:28:09,2025-12-14 14:03:15,SUCCESS
DEL00170,D032,Warehouse-North,Zone-29,15.91,2025-10-29 15:43:56,2025-10-29 16:07:11,SUCCESS
DEL00171,D097,Warehouse-North,Zone-25,53.93,2026-03-17 01:56:37,2026-03-17 02:27:29,FAILED
DEL00172,D055,Warehouse-South,Zone-26,21.21,2025-11-12 11:52:25,2025-11-12 12:14:59,SUCCESS
DEL00173,D090,Hub-Central,Zone-02,75.43,2026-01-09 13:51:29,2026-01-09 14:52:51,SUCCESS
DEL00174,D072,Warehouse-North,Zone-15,21.78,2025-11-18 09:20:53,2025-11-18 09:32:09,FAILED
DEL00175,D018,Hub-Central,Zone-22,57.03,2026-03-05 14:52:19,2026-03-05 15:44:42,SUCCESS
DEL00176,D068,Hub-West,Zone-11,12.6,2026-01-17 12:46:50,2026-01-17 12:59:32,SUCCESS
DEL00177,D097,Hub-Central,Zone-20,34.32,2026-03-23 02:20:45,2026-03-23 02:46:30,SUCCESS
DEL00178,D093,Hub-West,Zone-14,67.91,2026-03-23 05:06:57,2026-03-23 05:57:17,SUCCESS
DEL00179,D071,Warehouse-South,Zone-24,31.16,2025-12-26 14:06:28,2025-12-26 14:28:41,SUCCESS
DEL00180,D061,Warehouse-East,Zone-25,24.34,2025-12-27 09:28:37,2025-12-27 09:48:15,SUCCESS
DEL00181,D032,Warehouse-East,Zone-25,27.56,2026-03-13 02:02:41,2026-03-13 02:12:26,FAILED
DEL00182,D100,Hub-Central,Zone-21,33.75,2026-01-10 05:25:59,2026-01-10 06:16:35,SUCCESS
DEL00183,D031,Hub-Central,Zone-03,30.94,2025-11-23 07:43:00,2025-11-23 07:56:12,FAILED
DEL00184,D092,Warehouse-South,Zone-09,33.48,2025-11-25 11:35:22,2025-11-25 12:05:45,SUCCESS
DEL00185,D043,Hub-West,Zone-03,19.94,2025-12-02 01:57:16,2025-12-02 02:22:32,SUCCESS
DEL00186,D018,Warehouse-South,Zone-13,28.54,2025-10-30 06:55:18,2025-10-30 07:35:47,SUCCESS
DEL00187,D089,Warehouse-South,Zone-03,23.55,2025-10-30 16:07:26,2025-10-30 16:34:12,SUCCESS
DEL00188,D054,Warehouse-East,Zone-18,41.97,2025-12-19 03:33:02,2025-12-19 04:16:50,SUCCESS
DEL00189,D060,Warehouse-North,Zone-07,29.41,2025-12-20 17:38:54,2025-12-20 18:12:38,SUCCESS
DEL00190,D054,Hub-West,Zone-23,48.81,2025-12-15 15:05:36,2025-12-15 15:48:34,SUCCESS
DEL00191,D003,Hub-West,Zone-13,20.37,2026-03-16 08:39:38,2026-03-16 08:56:14,SUCCESS
DEL00192,D062,Warehouse-East,Zone-10,15.84,2025-10-02 03:28:39,2025-10-02 03:47:35,SUCCESS
DEL00193,D097,Hub-Central,Zone-18,57.93,2025-12-15 17:28:10,2025-12-15 18:03:26,FAILED
DEL00194,D096,Hub-West,Zone-26,35.21,2026-02-20 15:38:34,2026-02-20 16:02:10,FAILED
DEL00195,D078,Warehouse-South,Zone-16,14.29,2026-03-24 08:06:14,2026-03-24 08:23:22,SUCCESS
DEL00196,D029,Hub-Central,Zone-16,27.81,2025-11-22 23:58:14,2025-11-23 00:17:40,SUCCESS
DEL00197,D004,Warehouse-East,Zone-22,32.39,2025-12-15 12:12:21,2025-12-15 12:27:16,FAILED
DEL00198,D087,Hub-Central,Zone-24,32.5,2026-03-04 23:36:46,2026-03-05 00:20:57,SUCCESS
DEL00199,D022,Hub-Central,Zone-30,30.63,2026-03-13 05:02:25,2026-03-13 05:24:14,SUCCESS
DEL00200,D017,Hub-West,Zone-01,19.19,2026-01-29 19:55:39,2026-01-29 20:11:55,SUCCESS
DEL00201,D051,Hub-West,Zone-22,9.2,2026-01-23 22:25:12,2026-01-23 22:31:10,SUCCESS
DEL00202,D004,Hub-Central,Zone-05,39.73,2025-10-17 07:13:24,2025-10-17 07:46:51,SUCCESS
DEL00203,D060,Warehouse-North,Zone-09,23.43,2025-11-05 06:55:07,2025-11-05 07:05:54,FAILED
DEL00204,D049,Warehouse-South,Zone-15,11.11,2025-12-03 13:34:26,2025-12-03 13:46:04,SUCCESS
DEL00205,D042,Hub-Central,Zone-09,26.52,2025-12-05 12:51:59,2025-12-05 13:06:31,FAILED
DEL00206,D097,Hub-Central,Zone-09,17.88,2026-03-11 13:02:53,2026-03-11 13:19:23,SUCCESS
DEL00207,D011,Warehouse-North,Zone-24,29.05,2025-12-31 07:47:19,2025-12-31 08:29:07,SUCCESS
DEL00208,D070,Warehouse-East,Zone-08,20.64,2025-10-11 02:44:11,2025-10-11 03:00:38,SUCCESS
DEL00209,D084,Warehouse-North,Zone-25,41.75,2025-10-14 07:47:05,2025-10-14 08:29:20,SUCCESS
DEL00210,D004,Warehouse-South,Zone-27,17.14,2025-11-18 00:25:25,2025-11-18 00:37:13,SUCCESS
DEL00211,D003,Warehouse-South,Zone-08,27.61,2026-01-29 15:38:02,2026-01-29 16:16:05,SUCCESS
DEL00212,D017,Warehouse-North,Zone-19,7.1,2025-12-31 22:57:16,2025-12-31 23:02:26,SUCCESS
DEL00213,D028,Warehouse-East,Zone-25,52.43,2025-12-30 07:12:55,2025-12-30 08:28:29,SUCCESS
DEL00214,D048,Hub-West,Zone-20,6.32,2025-11-02 13:57:14,2025-11-02 14:02:10,SUCCESS
DEL00215,D096,Warehouse-North,Zone-25,35.63,2026-02-17 11:47:14,2026-02-17 12:12:16,SUCCESS
DEL00216,D021,Warehouse-North,Zone-19,43.06,2025-11-30 09:32:47,2025-11-30 10:09:17,SUCCESS
DEL00217,D004,Warehouse-East,Zone-19,44.19,2026-03-30 08:55:40,2026-03-30 09:40:23,SUCCESS
DEL00218,D087,Hub-Central,Zone-13,8.86,2026-03-26 07:42:30,2026-03-26 07:48:59,SUCCESS
DEL00219,D092,Warehouse-North,Zone-19,8.17,2025-11-08 12:17:01,2025-11-08 12:24:18,SUCCESS
DEL00220,D089,Warehouse-South,Zone-04,21.32,2026-03-11 06:44:39,2026-03-11 06:58:04,FAILED
DEL00221,D090,Warehouse-East,Zone-28,86.27,2026-02-28 00:01:18,2026-02-28 01:28:55,SUCCESS
DEL00222,D088,Warehouse-North,Zone-26,34.94,2026-01-25 14:07:15,2026-01-25 14:20:43,FAILED
DEL00223,D073,Warehouse-North,Zone-12,28.31,2026-03-01 23:20:42,2026-03-01 23:53:14,SUCCESS
DEL00224,D069,Warehouse-East,Zone-03,9.45,2025-12-23 04:23:10,2025-12-23 04:36:50,SUCCESS
DEL00225,D065,Warehouse-East,Zone-01,31.13,2026-02-03 17:46:13,2026-02-03 18:11:52,SUCCESS
DEL00226,D054,Hub-Central,Zone-04,12.7,2026-03-09 16:20:23,2026-03-09 16:28:55,SUCCESS
DEL00227,D056,Hub-Central,Zone-23,34.79,2025-12-10 07:55:06,2025-12-10 08:21:42,FAILED
DEL00228,D020,Warehouse-South,Zone-24,23.51,2025-12-24 13:31:01,2025-12-24 14:02:09,SUCCESS
DEL00229,D067,Warehouse-East,Zone-20,28.87,2026-02-04 07:21:04,2026-02-04 07:45:37,SUCCESS
DEL00230,D069,Hub-Central,Zone-15,8.45,2026-02-28 10:05:26,2026-02-28 10:15:54,SUCCESS
DEL00231,D056,Hub-West,Zone-09,32.44,2026-03-10 08:12:07,2026-03-10 08:33:43,SUCCESS
DEL00232,D042,Warehouse-South,Zone-27,24.67,2026-03-15 09:16:15,2026-03-15 09:43:22,SUCCESS
DEL00233,D012,Hub-Central,Zone-08,81.35,2025-11-24 03:53:59,2025-11-24 05:37:11,SUCCESS
DEL00234,D097,Hub-West,Zone-20,23.17,2025-12-30 05:41:54,2025-12-30 06:03:28,SUCCESS
DEL00235,D086,Warehouse-East,Zone-01,27.28,2025-12-13 14:13:05,2025-12-13 14:32:45,SUCCESS
DEL00236,D064,Warehouse-East,Zone-06,21.19,2026-03-15 05:43:39,2026-03-15 06:02:22,SUCCESS
